algorithm,coverage_pct,energy,makespan,hypervolume
Greedy,13.684548697668276,142.04493861121446,1482.0337182375167,
MOSA,11.999113075849472,133.33984289629552,309.1423221588838,
NSGA-II,10.931320418183232,110.01616799578342,764.2691909116982,0.02826104878477115
NSGA-II + Tabu,15.697827058649175,185.87005890802936,975.5763612564265,
