seed,coverage_pct,energy,makespan
0,85.8560794044665,440.7325449294377,10659.659798802075
1,103.88059701492539,442.5070840737708,9447.265980068572
2,87.93103448275862,426.6167938412812,14836.188945804908
3,101.75879396984924,498.9575510093858,13096.537194328663
4,84.61538461538461,424.1769479140041,13037.40742505447
5,96.62650602409639,529.3994182740788,5779.951980390792
6,80.48780487804879,424.40323869563207,11392.786420738486
7,93.8388625592417,495.5987135941176,12424.74128178553
8,87.90697674418605,499.2451107461685,8306.509047111344
9,87.30964467005076,453.5100299990545,12541.528707572266
