seed,solution,coverage_pct,energy,makespan
0,0,12.265732127697655,116.22620285554503,3341.074056345648
0,1,11.09375857069046,105.07633523617004,1559.395157731605
0,2,11.026048684137953,105.30773477761288,409.92699531600954
0,3,17.383062193811757,220.65576869649908,544.0217785368491
0,4,17.383062193811757,220.65576869649908,544.0217785368491
0,5,13.18465514207434,134.40419108267895,264.00385080441094
0,6,12.39914333032723,117.18531441143563,3341.074056345648
0,7,13.537366626363422,131.8258575097329,2849.9269953160097
0,8,12.968942824847865,125.20266991129199,2278.4005167170553
0,9,13.231046463895858,127.19188056673153,2731.074056345648
0,10,12.750791381664337,121.97037239156698,2010.4956390022678
0,11,12.047339019552997,115.6685753323314,581.740761377838
0,12,12.74791272282932,122.04397930772403,837.6133443272311
0,13,11.868588003200408,113.33350835853545,1801.740761377838
0,14,12.575170672100407,119.56659733522648,1400.4956390022678
0,15,12.097892713890591,115.78968875133644,1191.740761377838
0,16,15.262864505138499,160.10526335567192,1764.021778536849
0,17,14.25693271613471,141.8335786634783,2121.074056345648
0,18,15.193734119243482,158.99375257673802,1511.074056345648
0,19,12.656311658127297,120.25862743069759,2783.771682645076
0,20,16.163601762742854,181.9328590879943,1135.1338612432216
0,21,13.881918526504455,136.63805540431423,2849.9269953160097
0,22,16.42782700098834,193.68136703175287,993.6512908587922
0,23,14.047465324770563,138.5440391131031,901.0740563456479
0,24,14.122212635960071,141.55703698818098,1603.6512908587922
0,25,14.21645760648143,150.33058385108973,448.4005167170553
0,26,16.83061099730796,201.24770667070965,525.1338612432216
0,27,16.53331674700668,191.3877391783302,1019.9269953160095
0,28,12.921684639952256,123.39688240947736,2173.771682645076
0,29,13.741907657623997,146.27276119113165,343.7716826450762
0,30,16.684761852678516,196.3576135302254,1019.9269953160095
0,31,15.368405926146627,161.978920739077,1668.4005167170553
0,32,11.678956434392434,111.02320174750515,2239.9269953160097
0,33,11.262987054243743,107.37392463494879,949.395157731605
0,34,12.95382395335238,123.76843335710952,1563.7716826450762
0,35,14.856123083795255,157.30693648722325,448.4005167170553
0,36,13.426173466274498,129.7387077006298,2779.3951577316047
0,37,12.797289239161419,126.20754470067465,837.6133443272311
0,38,12.5275253919597,118.58651885929235,1535.0725444616871
0,39,14.31539249912182,143.13309209639482,2278.4005167170553
0,40,12.682205728442252,120.88805203185248,1447.613344327231
0,41,16.32233705605466,190.02348949001657,409.92699531600954
0,42,14.887892710854425,154.68795059296764,1058.4005167170553
0,43,15.362441913629096,170.53900875042152,383.6512908587922
0,44,16.388981199700414,192.47902268312504,993.6512908587922
0,45,15.058649050257088,156.36395410039205,1603.6512908587922
0,46,14.421079087046365,143.99519126332513,1668.4005167170553
0,47,12.841703210582352,122.47812458304013,1447.613344327231
0,48,17.126693322233752,212.10642402398332,1019.9269953160095
0,49,15.756517354019467,176.395372569752,383.6512908587922
0,50,15.670029225596114,177.41739687800793,291.07405634564793
0,51,13.617011522044804,132.95600845359485,2169.3951577316047
0,52,16.23687147810896,182.0970942357685,1764.021778536849
0,53,15.527176355125102,169.53611899845436,901.0740563456479
0,54,14.007096042885149,137.79987055203202,2121.074056345648
0,55,16.741039887187117,198.06374302715625,1019.9269953160095
0,56,17.312510368761348,218.2811043080864,1154.021778536849
0,57,15.15586177365912,161.07279677481438,1058.4005167170553
0,58,12.48666592057767,118.20604097633229,919.2424896857729
0,59,12.355799351771479,118.07241546080239,953.7716826450762
